Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
F14;3;14;4;F;Soilbag;Bag;0;0,329396336;0,020794529;0;0;0;0;0;0;0,140742071;0,446182309;0
F15;3;15;5;F;Soilbag;Bag;0,125523013;0,018828452;0;0;0;0;0;0;0;0,533472803;0,050209205;0,205020921
F16;4;16;1;F;Soilbag;Bag;0;0,264014467;0;0;0;0;0,001808318;0;0,007233273;0,137432188;0,168173599;0,383363472
F17;4;17;2;F;Soilbag;Bag;0;0,568007033;0,366908827;0;0;0,001972247;0;0,031555946;0,003944493;0,00591674;0,007888987;0,007888987
F18;4;18;3;F;Soilbag;Bag;0;0,156839623;0;0;0;0,001179245;0;0;0,001179245;0;0,595518868;0,213443396
F19;4;19;4;F;Soilbag;Bag;0;0,729450732;0;0,008101386;0;0;0;0;0;0;0;0
F2;1;2;2;F;Soilbag;Bag;0;0,012887731;0;0;0,002121398;0;0,020252149;0,804562637;0;0;0,077326386;0,005523313
F20;4;20;5;F;Soilbag;Bag;0;0,524390244;0;0,00203252;0;0;0;0,077235772;0,050813008;0,075203252;0,211382114;0,006097561
F21;5;21;1;F;Soilbag;Bag;0,001547988;0,758513932;0;0,001547988;0;0;0;0,03869969;0,100619195;0,003095975;0,078947368;0,015479876
F22;5;22;2;F;Soilbag;Bag;0;0,469556015;0,217406641;0,002524495;0;0;0;0;0;0,078259336;0,229729018;0
F23;5;23;3;F;Soilbag;Bag;0;0,567839196;0;0;0;0;0;0;0;0;0,429648241;0
F24;5;24;4;F;Soilbag;Bag;0,001364256;0,017735334;0;0;0;0;0;0;0,001364256;0,162346521;0,817189632;0
F25;5;25;5;F;Soilbag;Bag;0;0,323738579;0;0,003839402;0,001204033;0;0;0,066905973;0,017266058;0,155394518;0,418701895;0
F26;6;26;1;F;Soilbag;Bag;0;0;0;0;0;0;0;0,040632054;0;0,002257336;0,030474041;0,873589165
F27;6;27;2;F;Soilbag;Bag;0,392105263;0;0;0;0;0;0;0,439473684;0;0;0;0,155263158
F28;6;28;3;F;Soilbag;Bag;0;0,108433735;0;0;0;0;0;0,040963855;0;0,236144578;0,040963855;0
F29;6;29;4;F;Soilbag;Bag;0;0;0,00213476;0,000800796;0,000874279;0;0;0,028027858;0;0;0,070470044;0,645441538
F3;1;3;3;F;Soilbag;Bag;0;0,184738956;0;0,040160643;0;0;0,016064257;0,192771084;0;0;0,542168675;0
F30;6;30;5;F;Soilbag;Bag;0,002677371;0;0;2,09E-06;0;0;0;0,002677371;0;0;0;0,994643165
F31;7;31;1;F;Soilbag;Bag;0;0,009836066;0;0;0;0;0,147540984;0,685245902;0;0;0,078688525;0,078688525
F32;7;32;2;F;Soilbag;Bag;0,020539153;0,631578947;0;0,024390244;0;0;0;0,299101412;0;0;0;0
F33;7;33;3;F;Soilbag;Bag;0,541226216;0,063424947;0;0,010570825;0;0;0,097251586;0,080338266;0,029598309;0,00422833;0,050739958;0
F35;7;35;5;F;Soilbag;Bag;0;0,531585272;0;0,004321831;0,000216317;0;0;0;0;0,008643663;0,399049107;0,040337094
F36;8;36;1;F;Soilbag;Bag;0;0,557647059;0;0;0;0;0;0;0,007058824;0,042352941;0,383529412;0
F37;8;37;2;F;Soilbag;Bag;0;0,623743109;0;0,014083473;0;0;0;0;0;0,010060373;0,342052673;0,010060373
F38;8;38;3;F;Soilbag;Bag;0,169421488;0,506887052;0;0;0;0;0;0,00137741;0,066115702;0,074380165;0,00137741;0
